Time	variable	value	Season
10.9333333333333	ProcessS	NA	Dec
11	ProcessS	NA	Dec
11.0666666666667	ProcessS	NA	Dec
11.1333333333333	ProcessS	NA	Dec
11.2	ProcessS	NA	Dec
11.2666666666667	ProcessS	NA	Dec
11.3333333333333	ProcessS	NA	Dec
11.4	ProcessS	NA	Dec
11.4666666666667	ProcessS	NA	Dec
11.5333333333333	ProcessS	NA	Dec
11.6	ProcessS	NA	Dec
11.6666666666667	ProcessS	NA	Dec
11.7333333333333	ProcessS	NA	Dec
11.8	ProcessS	NA	Dec
11.8666666666667	ProcessS	NA	Dec
11.9333333333333	ProcessS	NA	Dec
12	ProcessS	NA	Dec
12.0666666666667	ProcessS	NA	Dec
12.1333333333333	ProcessS	NA	Dec
12.2	ProcessS	NA	Dec
12.2666666666667	ProcessS	NA	Dec
12.3333333333333	ProcessS	NA	Dec
12.4	ProcessS	NA	Dec
12.4666666666667	ProcessS	NA	Dec
12.5333333333333	ProcessS	NA	Dec
12.6	ProcessS	NA	Dec
12.6666666666667	ProcessS	NA	Dec
12.7333333333333	ProcessS	NA	Dec
12.8	ProcessS	NA	Dec
12.8666666666667	ProcessS	NA	Dec
12.9333333333333	ProcessS	NA	Dec
13	ProcessS	NA	Dec
13.0666666666667	ProcessS	NA	Dec
13.1333333333333	ProcessS	NA	Dec
13.2	ProcessS	NA	Dec
13.2666666666667	ProcessS	NA	Dec
13.3333333333333	ProcessS	NA	Dec
13.4	ProcessS	NA	Dec
13.4666666666667	ProcessS	NA	Dec
13.5333333333333	ProcessS	NA	Dec
13.6	ProcessS	NA	Dec
13.6666666666667	ProcessS	NA	Dec
13.7333333333333	ProcessS	NA	Dec
13.8	ProcessS	NA	Dec
13.8666666666667	ProcessS	NA	Dec
13.9333333333333	ProcessS	NA	Dec
14	ProcessS	NA	Dec
14.0666666666667	ProcessS	NA	Dec
14.1333333333333	ProcessS	NA	Dec
14.2	ProcessS	NA	Dec
14.2666666666667	ProcessS	NA	Dec
14.3333333333333	ProcessS	NA	Dec
14.4	ProcessS	NA	Dec
14.4666666666667	ProcessS	NA	Dec
14.5333333333333	ProcessS	NA	Dec
14.6	ProcessS	NA	Dec
14.6666666666667	ProcessS	NA	Dec
14.7333333333333	ProcessS	NA	Dec
14.8	ProcessS	NA	Dec
14.8666666666667	ProcessS	NA	Dec
14.9333333333333	ProcessS	NA	Dec
15	ProcessS	NA	Dec
15.0666666666667	ProcessS	NA	Dec
15.1333333333333	ProcessS	NA	Dec
15.2	ProcessS	NA	Dec
15.2666666666667	ProcessS	NA	Dec
15.3333333333333	ProcessS	NA	Dec
15.4	ProcessS	NA	Dec
15.4666666666667	ProcessS	NA	Dec
15.5333333333333	ProcessS	NA	Dec
15.6	ProcessS	NA	Dec
15.6666666666667	ProcessS	NA	Dec
15.7333333333333	ProcessS	NA	Dec
15.8	ProcessS	NA	Dec
15.8666666666667	ProcessS	NA	Dec
15.9333333333333	ProcessS	NA	Dec
16	ProcessS	NA	Dec
16.0666666666667	ProcessS	NA	Dec
16.1333333333333	ProcessS	NA	Dec
16.2	ProcessS	NA	Dec
16.2666666666667	ProcessS	NA	Dec
16.3333333333333	ProcessS	NA	Dec
16.4	ProcessS	NA	Dec
16.4666666666667	ProcessS	NA	Dec
16.5333333333333	ProcessS	NA	Dec
16.6	ProcessS	NA	Dec
16.6666666666667	ProcessS	NA	Dec
16.7333333333333	ProcessS	NA	Dec
16.8	ProcessS	NA	Dec
16.8666666666667	ProcessS	NA	Dec
16.9333333333333	ProcessS	NA	Dec
17	ProcessS	NA	Dec
17.0666666666667	ProcessS	NA	Dec
17.1333333333333	ProcessS	NA	Dec
17.2	ProcessS	NA	Dec
17.2666666666667	ProcessS	NA	Dec
17.3333333333333	ProcessS	NA	Dec
17.4	ProcessS	NA	Dec
17.4666666666667	ProcessS	NA	Dec
17.5333333333333	ProcessS	NA	Dec
17.6	ProcessS	NA	Dec
17.6666666666667	ProcessS	NA	Dec
17.7333333333333	ProcessS	NA	Dec
17.8	ProcessS	NA	Dec
17.8666666666667	ProcessS	NA	Dec
17.9333333333333	ProcessS	NA	Dec
18	ProcessS	NA	Dec
18.0666666666667	ProcessS	NA	Dec
18.1333333333333	ProcessS	NA	Dec
18.2	ProcessS	NA	Dec
18.2666666666667	ProcessS	NA	Dec
18.3333333333333	ProcessS	NA	Dec
18.4	ProcessS	NA	Dec
18.4666666666667	ProcessS	NA	Dec
18.5333333333333	ProcessS	NA	Dec
18.6	ProcessS	NA	Dec
18.6666666666667	ProcessS	NA	Dec
18.7333333333333	ProcessS	NA	Dec
18.8	ProcessS	NA	Dec
18.8666666666667	ProcessS	NA	Dec
18.9333333333333	ProcessS	NA	Dec
19	ProcessS	NA	Dec
19.0666666666667	ProcessS	NA	Dec
19.1333333333333	ProcessS	NA	Dec
19.2	ProcessS	NA	Dec
19.2666666666667	ProcessS	NA	Dec
19.3333333333333	ProcessS	NA	Dec
19.4	ProcessS	NA	Dec
19.4666666666667	ProcessS	NA	Dec
19.5333333333333	ProcessS	NA	Dec
19.6	ProcessS	NA	Dec
19.6666666666667	ProcessS	NA	Dec
19.7333333333333	ProcessS	NA	Dec
19.8	ProcessS	NA	Dec
19.8666666666667	ProcessS	NA	Dec
19.9333333333333	ProcessS	NA	Dec
20	ProcessS	NA	Dec
20.0666666666667	ProcessS	NA	Dec
20.1333333333333	ProcessS	NA	Dec
20.2	ProcessS	NA	Dec
20.2666666666667	ProcessS	NA	Dec
20.3333333333333	ProcessS	NA	Dec
20.4	ProcessS	NA	Dec
20.4666666666667	ProcessS	NA	Dec
20.5333333333333	ProcessS	NA	Dec
20.6	ProcessS	NA	Dec
20.6666666666667	ProcessS	NA	Dec
20.7333333333333	ProcessS	NA	Dec
20.8	ProcessS	NA	Dec
20.8666666666667	ProcessS	NA	Dec
20.9333333333333	ProcessS	NA	Dec
21	ProcessS	NA	Dec
21.0666666666667	ProcessS	NA	Dec
21.1333333333333	ProcessS	NA	Dec
21.2	ProcessS	NA	Dec
21.2666666666667	ProcessS	NA	Dec
21.3333333333333	ProcessS	NA	Dec
21.4	ProcessS	NA	Dec
21.4666666666667	ProcessS	NA	Dec
21.5333333333333	ProcessS	NA	Dec
21.6	ProcessS	NA	Dec
21.6666666666667	ProcessS	NA	Dec
21.7333333333333	ProcessS	NA	Dec
21.8	ProcessS	NA	Dec
21.8666666666667	ProcessS	NA	Dec
21.9333333333333	ProcessS	NA	Dec
22	ProcessS	NA	Dec
22.0666666666667	ProcessS	NA	Dec
22.1333333333333	ProcessS	NA	Dec
22.2	ProcessS	NA	Dec
22.2666666666667	ProcessS	NA	Dec
22.3333333333333	ProcessS	NA	Dec
22.4	ProcessS	NA	Dec
22.4666666666667	ProcessS	NA	Dec
22.5333333333333	ProcessS	NA	Dec
22.6	ProcessS	NA	Dec
22.6666666666667	ProcessS	NA	Dec
22.7333333333333	ProcessS	NA	Dec
22.8	ProcessS	NA	Dec
22.8666666666667	ProcessS	NA	Dec
22.9333333333333	ProcessS	NA	Dec
23	ProcessS	NA	Dec
23.0666666666667	ProcessS	NA	Dec
23.1333333333333	ProcessS	NA	Dec
23.2	ProcessS	NA	Dec
23.2666666666667	ProcessS	NA	Dec
23.3333333333333	ProcessS	NA	Dec
23.4	ProcessS	NA	Dec
23.4666666666667	ProcessS	NA	Dec
23.5333333333333	ProcessS	NA	Dec
23.6	ProcessS	NA	Dec
23.6666666666667	ProcessS	NA	Dec
23.7333333333333	ProcessS	NA	Dec
23.8	ProcessS	NA	Dec
23.8666666666667	ProcessS	NA	Dec
23.9333333333333	ProcessS	NA	Dec
24	ProcessS	NA	Dec
24.0666666666667	ProcessS	NA	Dec
24.1333333333333	ProcessS	NA	Dec
24.2	ProcessS	NA	Dec
24.2666666666667	ProcessS	NA	Dec
24.3333333333333	ProcessS	NA	Dec
24.4	ProcessS	NA	Dec
24.4666666666667	ProcessS	NA	Dec
24.5333333333333	ProcessS	NA	Dec
24.6	ProcessS	NA	Dec
24.6666666666667	ProcessS	NA	Dec
24.7333333333333	ProcessS	NA	Dec
24.8	ProcessS	NA	Dec
24.8666666666667	ProcessS	NA	Dec
24.9333333333333	ProcessS	NA	Dec
25	ProcessS	NA	Dec
25.0666666666667	ProcessS	NA	Dec
25.1333333333333	ProcessS	NA	Dec
25.2	ProcessS	NA	Dec
25.2666666666667	ProcessS	NA	Dec
25.3333333333333	ProcessS	NA	Dec
25.4	ProcessS	NA	Dec
25.4666666666667	ProcessS	NA	Dec
25.5333333333333	ProcessS	NA	Dec
25.6	ProcessS	NA	Dec
25.6666666666667	ProcessS	NA	Dec
25.7333333333333	ProcessS	NA	Dec
25.8	ProcessS	NA	Dec
25.8666666666667	ProcessS	NA	Dec
25.9333333333333	ProcessS	NA	Dec
26	ProcessS	NA	Dec
26.0666666666667	ProcessS	NA	Dec
26.1333333333333	ProcessS	NA	Dec
26.2	ProcessS	NA	Dec
26.2666666666667	ProcessS	NA	Dec
26.3333333333333	ProcessS	NA	Dec
26.4	ProcessS	NA	Dec
26.4666666666667	ProcessS	NA	Dec
26.5333333333333	ProcessS	NA	Dec
26.6	ProcessS	NA	Dec
26.6666666666667	ProcessS	NA	Dec
26.7333333333333	ProcessS	NA	Dec
26.8	ProcessS	NA	Dec
26.8666666666667	ProcessS	NA	Dec
26.9333333333333	ProcessS	NA	Dec
27	ProcessS	NA	Dec
27.0666666666667	ProcessS	NA	Dec
27.1333333333333	ProcessS	NA	Dec
27.2	ProcessS	NA	Dec
27.2666666666667	ProcessS	NA	Dec
27.3333333333333	ProcessS	NA	Dec
27.4	ProcessS	NA	Dec
27.4666666666667	ProcessS	NA	Dec
27.5333333333333	ProcessS	NA	Dec
27.6	ProcessS	NA	Dec
27.6666666666667	ProcessS	NA	Dec
27.7333333333333	ProcessS	NA	Dec
27.8	ProcessS	NA	Dec
27.8666666666667	ProcessS	NA	Dec
27.9333333333333	ProcessS	NA	Dec
28	ProcessS	NA	Dec
28.0666666666667	ProcessS	NA	Dec
28.1333333333333	ProcessS	NA	Dec
28.2	ProcessS	NA	Dec
28.2666666666667	ProcessS	NA	Dec
28.3333333333333	ProcessS	NA	Dec
28.4	ProcessS	NA	Dec
28.4666666666667	ProcessS	NA	Dec
28.5333333333333	ProcessS	NA	Dec
28.6	ProcessS	NA	Dec
28.6666666666667	ProcessS	NA	Dec
28.7333333333333	ProcessS	NA	Dec
28.8	ProcessS	NA	Dec
28.8666666666667	ProcessS	NA	Dec
28.9333333333333	ProcessS	NA	Dec
29	ProcessS	NA	Dec
29.0666666666667	ProcessS	NA	Dec
29.1333333333333	ProcessS	NA	Dec
29.2	ProcessS	NA	Dec
29.2666666666667	ProcessS	NA	Dec
29.3333333333333	ProcessS	NA	Dec
29.4	ProcessS	NA	Dec
29.4666666666667	ProcessS	NA	Dec
29.5333333333333	ProcessS	NA	Dec
29.6	ProcessS	NA	Dec
29.6666666666667	ProcessS	NA	Dec
29.7333333333333	ProcessS	NA	Dec
29.8	ProcessS	NA	Dec
29.8666666666667	ProcessS	NA	Dec
29.9333333333333	ProcessS	NA	Dec
30	ProcessS	NA	Dec
30.0666666666667	ProcessS	NA	Dec
30.1333333333333	ProcessS	NA	Dec
30.2	ProcessS	NA	Dec
30.2666666666667	ProcessS	NA	Dec
30.3333333333333	ProcessS	NA	Dec
30.4	ProcessS	NA	Dec
30.4666666666667	ProcessS	NA	Dec
30.5333333333333	ProcessS	NA	Dec
30.6	ProcessS	NA	Dec
30.6666666666667	ProcessS	NA	Dec
30.7333333333333	ProcessS	NA	Dec
30.8	ProcessS	NA	Dec
30.8666666666667	ProcessS	NA	Dec
30.9333333333333	ProcessS	NA	Dec
31	ProcessS	NA	Dec
31.0666666666667	ProcessS	NA	Dec
31.1333333333333	ProcessS	NA	Dec
31.2	ProcessS	NA	Dec
31.2666666666667	ProcessS	NA	Dec
31.3333333333333	ProcessS	NA	Dec
31.4	ProcessS	NA	Dec
31.4666666666667	ProcessS	NA	Dec
31.5333333333333	ProcessS	NA	Dec
31.6	ProcessS	NA	Dec
31.6666666666667	ProcessS	NA	Dec
31.7333333333333	ProcessS	NA	Dec
31.8	ProcessS	NA	Dec
31.8666666666667	ProcessS	NA	Dec
31.9333333333333	ProcessS	NA	Dec
32	ProcessS	NA	Dec
32.0666666666667	ProcessS	NA	Dec
32.1333333333333	ProcessS	NA	Dec
32.2	ProcessS	NA	Dec
